,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,Target
421,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Global Business Management,832388.0,High Cost
422,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,264645.0,Low Cost
423,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,993437.0,High Cost
424,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Supply Chain Management,1311916.0,High Cost
425,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,1311916.5,High Cost
426,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Tourism Management,384527.25,Low Cost
427,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Operations,904770.0,High Cost
428,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,1311916.0,High Cost
429,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Communication,1872873.0,High Cost
430,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Data Analysis,993437.46,High Cost
431,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1311916.5,High Cost
432,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in ENTREPRENEURSHIP AND LEADERSHIP,121601.09,Low Cost
433,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Environment,121601.09,Low Cost
434,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,1890969.3,High Cost
435,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury And Brand,1890969.3,High Cost
436,ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports,1311916.5,High Cost
437,ITALY,M.ENG,M.ENG in Mechanical,904770.0,High Cost
438,ITALY,M.ENG,M.ENG in Electrical,234878.29,Low Cost
439,ITALY,M.ENG,M.ENG in Architechture,904770.0,High Cost
440,ITALY,M.ENG,"M.ENG in 
Civil",264645.23,Low Cost
441,ITALY,M.ENG,M.ENG in IT & Networking,271431.0,Low Cost
442,ITALY,M.ENG,M.ENG in Chemical,904770.0,High Cost
443,ITALY,M.ENG,M.ENG in Computer Science Engineering,904770.0,High Cost
444,ITALY,M.ENG,M.ENG in Aerospace Engineering,904770.0,High Cost
445,ITALY,M.ENG,M.ENG in Biomedical,904770.0,High Cost
446,ITALY,M.ENG,M.ENG in Electrical,904770.0,High Cost
447,ITALY,M.ENG,M.ENG in Energy & Environment,542040.0,High Cost
448,ITALY,M.ENG,M.ENG in Food Technology,343292.0,Low Cost
449,ITALY,M.ENG,M.ENG in Industrial,235064.68,Low Cost
450,ITALY,M.ENG,M.ENG in Materials,406530.0,High Cost
451,ITALY,M.ENG,M.ENG in Mechatronics,442666.0,High Cost
452,ITALY,M.ENG,M.ENG in Nanotechnology,352326.0,Low Cost
453,ITALY,M.ENG,M.ENG in Nuclear,316190.0,Low Cost
454,ITALY,M.ENG,M.ENG in Production,406530.0,High Cost
455,ITALY,M.Sc,M.Sc in Physics,406530.0,High Cost
456,ITALY,M.Sc,M.Sc in Chemistry,271020.0,Low Cost
457,ITALY,M.Sc,M.Sc in Biology,252952.0,Low Cost
458,ITALY,M.Sc,M.Sc in Environment,623346.0,High Cost
459,ITALY,M.Sc,M.Sc in Mathematics,442666.0,High Cost
460,BELGIUM,MBA,MBA in Business Administartion,3524922.18,High Cost
461,BELGIUM,MBA,MBA in Supply Chain And Logistic,1170605.01,High Cost
462,BELGIUM,MBA,MBA in Executive MBA,3524922.18,High Cost
463,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1355913.14,High Cost
464,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Management,1170605.01,High Cost
465,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in General Management,3524922.18,High Cost
466,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Global Management,1170605.01,High Cost
467,BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Finance",1170605.01,High Cost
468,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1373991.98,High Cost
469,BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Information Technology",158189.87,Low Cost
470,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Administartion,1310716.03,High Cost
471,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Economics College,3663677.3,High Cost
472,BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entreprenuer and Leadership,1309930.0,High Cost
473,BELGIUM,M.ENG,M.ENG in Mechanical,504097.2,High Cost
474,BELGIUM,M.ENG,M.ENG in Electrical,594437.2,High Cost
475,BELGIUM,M.ENG,M.ENG in Architecture,316190.0,Low Cost
476,BELGIUM,M.ENG,M.ENG in Civil,130993.0,Low Cost
477,BELGIUM,M.ENG,M.ENG in Chemical,542040.0,High Cost
478,BELGIUM,M.ENG,M.ENG in Agriculture,130993.0,Low Cost
479,BELGIUM,M.ENG,M.ENG in Biology,311673.0,Low Cost
480,BELGIUM,M.ENG,M.ENG in Biomedical,542040.0,High Cost
481,BELGIUM,M.ENG,M.ENG in Materials,542040.0,High Cost
482,BELGIUM,M.ENG,M.ENG in Nuclear,80402.6,Low Cost
483,BELGIUM,M.Sc,M.Sc in Physics,81848.04,Low Cost
484,BELGIUM,M.Sc,M.Sc in Chemistry,172188.04,Low Cost
485,BELGIUM,M.Sc,M.Sc in Biology,130993.0,Low Cost
486,BELGIUM,M.Sc,M.Sc in Psychology ,130993.0,Low Cost
487,BELGIUM,M.Sc,M.Sc in Environment,90340.0,Low Cost
488,BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2,Low Cost
